,autogluon_train_stat_0,autogluon_train_trunc0.000043_stat_0,autogluon_test_stat_0,autogluon_test_trunc0.000043_stat_0,autogluon_train_stat_1,autogluon_train_trunc0.000014_stat_1,autogluon_test_stat_1,autogluon_test_trunc0.000014_stat_1,autogluon_train_stat_2,autogluon_train_trunc0.000004_stat_2,autogluon_test_stat_2,autogluon_test_trunc0.000004_stat_2,autogluon_train_stat_3,autogluon_train_trunc0.000005_stat_3,autogluon_test_stat_3,autogluon_test_trunc0.000005_stat_3
baseline_mae,0.00042680283525117524,0.00042680283525117524,0.00044148775198088583,0.00044148775198088583,0.00034535722835908107,0.00034535722835908107,0.0003380141437186595,0.0003380141437186595,0.00033335189558729667,0.00033335189558729667,0.0003685583269396998,0.0003685583269396998,0.0003236838758462105,0.0003236838758462105,0.0004128681891031635,0.0004128681891031635
baseline_rmse,0.012903901661896668,0.012903901661896668,0.007177816721130639,0.007177816721130639,0.010481797455280316,0.010481797455280316,0.005494714748767024,0.005494714748767024,0.010702558768847105,0.010702558768847105,0.006029205958650137,0.006029205958650137,0.009661648951631673,0.009661648951631673,0.007487114397557523,0.007487114397557523
mae,0.00031814718069969204,0.00031814718069969204,0.00047542183842140247,0.00047542183842140247,0.0002392742637518395,0.0002392742637518395,0.00036832406962537193,0.00036832406962537193,8.677836797940933e-05,8.677836797940933e-05,0.00041205560137509863,0.00041205560137509863,0.00013354620655244226,0.00013354620655244226,0.00037651700100777295,0.00037651700100777295
mse,1.6483728425904722e-07,1.6483728425904722e-07,3.708425411589223e-07,3.708425411589223e-07,1.0167773467586481e-07,1.0167773467586481e-07,2.0525931897982573e-07,2.0525931897982573e-07,2.5952366389386536e-08,2.5952366389386536e-08,2.4306031051065374e-07,2.4306031051065374e-07,3.703736227069756e-08,3.703736227069756e-08,3.2868118941377954e-07,3.2868118941377954e-07
rmse,0.00040600158159673124,0.00040600158159673124,0.0006089684237782139,0.0006089684237782139,0.00031886946337939735,0.00031886946337939735,0.00045305553630854765,0.00045305553630854765,0.00016109738169624774,0.00016109738169624774,0.0004930114709726882,0.0004930114709726882,0.00019245093470985679,0.00019245093470985679,0.0005733072382359912,0.0005733072382359912
r2_score,0.435728368295477,0.435728368295477,-0.2308380941522894,-0.2308380941522894,0.4724918295065511,0.4724918295065511,-0.16254210476881426,-0.16254210476881426,0.8708553032066962,0.8708553032066962,-0.14337823114731263,-0.14337823114731263,0.7897125223784619,0.7897125223784619,0.06186379927049257,0.06186379927049257
explained_variance_score,0.4366994118078916,0.4366994118078916,-0.16352349526490295,-0.16352349526490295,0.47325930167400676,0.47325930167400676,-0.13919211311368307,-0.13919211311368307,0.8709949843805246,0.8709949843805246,-0.02058673036511105,-0.02058673036511105,0.7897185520578799,0.7897185520578799,0.14318961439619926,0.14318961439619926
